CDE Public ID,Version,CRDC Name,CRDC Domain,VD Type,Example,Subset Level,Coding Instruction,Instructions,CRDC Definition,CDE Long Name,Registration Status,Workflow Status,Owned By,Used By
15114457,1,Metastasis Anatomic Site UBERON Identifier,Diagnosis,Enumerated by Reference,,,,,,Disease Metastasis Anatomic Site Uberon Identifier,Standard,RELEASED,CRDC,Pediatric Cancer
15115495,1,Specimen Procurement Method,Specimen,Enumerated,,,,,The term which describes the way in which the sample was obtained.,Specimen Collection Method Type,Standard,RELEASED,CRDC,GDC
15118839,1,Body Surface Area,Clinical Observation,Non-enumerated,,,,,Numeric value used to represent the 2-dimensional extent of the body surface relating height to weight.,Subject Body Surface Area Float,Standard,RELEASED,CRDC,GDC
15157224,2,Year of Diagnosis,Diagnosis,Non-enumerated,,,,,Numeric value to represent the year of an individual's diagnosis of cancer.,Subject Diagnosis Year Date,Standard,RELEASED,Pediatric Cancer,"CRDC,GDC"
15157293,1,Disease Laterality,Diagnosis,Enumerated,,,,,The side of the body where disease is found.,Disease Laterality Type,Standard,RELEASED,CRDC,"CIP,GDC,Pediatric Cancer"
15157297,2,Residual Disease Status,Clinical Observation,Enumerated,,,,,A text term describing the assessment of the presence of tumor cells remaining in the body following cancer treatment.,Tumor Residual Disease Status,Standard,RELEASED,CRDC,
15157426,1,Treatment Prior to Specimen Collection Indicator,Treatment,Enumerated,,,,,An indication of whether the administration of therapeutic agents was received before the body specimen was collected.,Treatment Prior To Specimen Collection Indicator,Standard,RELEASED,NCI Standards,"CRDC,GDC"
15157467,2,Treatment Intent Type,Treatment,Enumerated,,,,,Text term to identify the reason for the administration of a treatment regimen.,Treatment Intent Type,Standard,RELEASED,CRDC,"GDC,Pediatric Cancer"
15179918,1,Best Overall Response,Clinical Observation,Enumerated,,,,,The best improvement in pathologic and/or clinical change achieved in a subject throughout the entire course of the protocol treatment.,Disease Best Overall Response Assessment Outcome,Qualified,RELEASED,NCI Standards,"CRDC,GDC,Pediatric Cancer"
15354920,1,Age 90 or Older,Demographics,Enumerated,,,"Set to ""Yes"" when the subject is 90 years of age or older and ""Year of Birth"" data element is blank.","Use in conjunction with ""Year of Birth"" DE (CDE 16032218) when subject is 90 years of age or older.",The response to indicate whether an individual is age 90 or older.,Person Age 90 or Over Indicator,Qualified,RELEASED,CRDC,CIP
15745088,1,Aliquot Volume,Specimen,Non-enumerated,,,,,The volume in microliters (µL ) of the aliquot(s) derived from the analyte.,Specimen Aliquot Volume Microliter Float,Standard,RELEASED,CRDC,GDC
15745091,1,Aliquot Mass,Specimen,Non-enumerated,,,,,"The quantity in micrograms (mcg, μg ) of the aliquots derived from the analyte.",Specimen Aliquot Mass Microgram Float,Standard,RELEASED,CRDC,GDC
15753203,1,Environmental Exposure Type,Clinical Observation,Enumerated,,,,,"The category related to contact with chemical, biological, or physical substances found in air, water, food, soil, or product that may have a harmful effect on a person's health.",Subject Environmental Exposure Type,Standard,RELEASED,CRDC,"GDC,HTAN,Pediatric Cancer"
15907364,1,Family Members with Cancer History Count,Demographics,Non-enumerated,,,,,The total number of family members with a history of cancer.,Person Family Member with Cancer History Count,Qualified,RELEASED,HTAN,"CRDC,GDC"
15997557,1,Family Member Primary Diagnosis,Demographics,Enumerated by Reference,,,,,A term describing the primary diagnosis of the person’s family member.,Person Family Member Primary Diagnosis Disease NCI Thesaurus Text,Standard,RELEASED,CRDC,GDC
15998677,1,Prior Malignancy,Diagnosis,Enumerated,,,,,A response to indicate if a subject has a medical history of previously diagnosed cancer.,Subject Prior Malignancy Indicator,Standard,RELEASED,CRDC,GDC
16002760,1,Funding Agency Organization Name,Administrative,Enumerated,,,,,The name of the funding source organization or sponsor.,Study Administration Funding Agency Organization Name,Standard,RELEASED,CRDC,Pediatric Cancer
16002823,1,Grant Funding Identifier,Administrative,Non-enumerated,,,,,One or more characters used to identify a grant.,Study Administration Grant Funding Number Identifier,Standard,RELEASED,CRDC,Pediatric Cancer
16032218,1,Year of Birth,Demographics,Non-enumerated,,,,,The 4-digit year of the subject's birth.,Subject Birth Year Date,Standard,RELEASED,CRDC,"CIP,GDC"
